date,equity,gross_equity,rolling_max,drawdown
2021-01-30,1.0,1.0,1.0,0.0
2021-01-31,1.0,1.0,1.0,0.0
2021-02-01,1.0,1.0,1.0,0.0
2021-02-02,1.0,1.0,1.0,0.0
2021-02-03,1.0,1.0,1.0,0.0
2021-02-04,1.0,1.0,1.0,0.0
2021-02-05,1.0,1.0,1.0,0.0
2021-02-06,1.0,1.0,1.0,0.0
2021-02-07,1.0,1.0,1.0,0.0
2021-02-08,1.0,1.0,1.0,0.0
2021-02-09,1.0,1.0,1.0,0.0
2021-02-10,1.0,1.0,1.0,0.0
2021-02-11,1.0,1.0,1.0,0.0
2021-02-12,1.0,1.0,1.0,0.0
2021-02-13,1.0,1.0,1.0,0.0
2021-02-14,1.0,1.0,1.0,0.0
2021-02-15,1.0,1.0,1.0,0.0
2021-02-16,1.0,1.0,1.0,0.0
2021-02-17,1.0,1.0,1.0,0.0
2021-02-18,1.0,1.0,1.0,0.0
2021-02-19,1.0,1.0,1.0,0.0
2021-02-20,1.0,1.0,1.0,0.0
2021-02-21,1.0,1.0,1.0,0.0
2021-02-22,1.0,1.0,1.0,0.0
2021-02-23,1.0,1.0,1.0,0.0
2021-02-24,1.0,1.0,1.0,0.0
2021-02-25,1.0,1.0,1.0,0.0
2021-02-26,1.0,1.0,1.0,0.0
2021-02-27,1.0,1.0,1.0,0.0
2021-02-28,1.0,1.0,1.0,0.0
2021-03-01,1.0,1.0,1.0,0.0
2021-03-02,1.0,1.0,1.0,0.0
2021-03-03,1.0,1.0,1.0,0.0
2021-03-04,1.0,1.0,1.0,0.0
2021-03-05,1.0,1.0,1.0,0.0
2021-03-06,1.0,1.0,1.0,0.0
2021-03-07,1.0,1.0,1.0,0.0
2021-03-08,1.0,1.0,1.0,0.0
2021-03-09,1.0,1.0,1.0,0.0
2021-03-10,1.0,1.0,1.0,0.0
2021-03-11,1.0,1.0,1.0,0.0
2021-03-12,1.0,1.0,1.0,0.0
2021-03-13,1.0,1.0,1.0,0.0
2021-03-14,1.0,1.0,1.0,0.0
2021-03-15,1.0,1.0,1.0,0.0
2021-03-16,1.0,1.0,1.0,0.0
2021-03-17,1.0,1.0,1.0,0.0
2021-03-18,1.0,1.0,1.0,0.0
2021-03-19,1.0,1.0,1.0,0.0
2021-03-20,1.0,1.0,1.0,0.0
2021-03-21,1.0,1.0,1.0,0.0
2021-03-22,1.0,1.0,1.0,0.0
2021-03-23,1.0,1.0,1.0,0.0
2021-03-24,1.0,1.0,1.0,0.0
2021-03-25,1.0443551358645535,1.0454147692255695,1.0443551358645535,0.0
2021-03-26,1.0510412540593885,1.052107671352088,1.0510412540593885,0.0
2021-03-27,1.0508639680955643,1.0519302055087234,1.0510412540593885,-0.00016867650355259243
2021-03-28,1.0647004845601564,1.0657807609088679,1.0647004845601564,0.0
2021-03-29,1.0749329207089895,1.0760235791876254,1.0749329207089895,0.0
2021-03-30,1.0749428514620774,1.0760335200167466,1.0749428514620774,0.0
2021-03-31,1.0768371742814695,1.0779297648716486,1.0768371742814695,0.0
2021-04-01,1.0804588527431445,1.0815551179945466,1.0804588527431445,0.0
2021-04-02,1.047569705612878,1.0486326005706725,1.0804588527431445,-0.03043998116796868
2021-04-03,1.0647694507715706,1.0658497970954237,1.0804588527431445,-0.014521054579487705
2021-04-04,1.069085749339416,1.0701704751064312,1.0804588527431445,-0.010526179108860756
2021-04-05,1.05411758971296,1.0551871283460699,1.0804588527431445,-0.02437970031279528
2021-04-06,1.015051420195675,1.0160813211470365,1.0804588527431445,-0.0605367176930509
2021-04-07,1.0458036454210622,1.046864748482372,1.0804588527431445,-0.03207452762694036
2021-04-08,1.0449810101110304,1.0460412785024198,1.0804588527431445,-0.03283590350714462
2021-04-09,1.0609903665546363,1.0620668785087692,1.0804588527431445,-0.018018720601048532
2021-04-10,1.0654357077396015,1.066516730067322,1.0804588527431445,-0.013904411968490191
2021-04-11,1.061961699103046,1.0630391965996804,1.0804588527431445,-0.017119720564218194
2021-04-12,1.1007428421645358,1.1018596881467142,1.1007428421645358,0.0
2021-04-13,1.0973047643820721,1.0984181219896634,1.1007428421645358,-0.003123415979433387
2021-04-14,1.0995596651106143,1.100675310606641,1.1007428421645358,-0.001074889618718593
2021-04-15,1.0785631359468528,1.079657477748376,1.1007428421645358,-0.02014976193174063
2021-04-16,1.0694729829140621,1.0705581015796237,1.1007428421645358,-0.028407960563235284
2021-04-17,1.0217254740442954,1.0227621466865011,1.1007428421645358,-0.07178549348080078
2021-04-18,1.0181460409438998,1.0191790817882656,1.1007428421645358,-0.07503732757254634
2021-04-19,1.0181460409438998,1.0191790817882656,1.1007428421645358,-0.07503732757254634
2021-04-20,1.0181460409438998,1.0191790817882656,1.1007428421645358,-0.07503732757254634
2021-04-21,1.0181460409438998,1.0191790817882656,1.1007428421645358,-0.07503732757254634
2021-04-22,1.0181460409438998,1.0191790817882656,1.1007428421645358,-0.07503732757254634
2021-04-23,1.0181460409438998,1.0191790817882656,1.1007428421645358,-0.07503732757254634
2021-04-24,1.0181460409438998,1.0191790817882656,1.1007428421645358,-0.07503732757254634
2021-04-25,1.0181460409438998,1.0191790817882656,1.1007428421645358,-0.07503732757254634
2021-04-26,1.0181460409438998,1.0191790817882656,1.1007428421645358,-0.07503732757254634
2021-04-27,1.0181460409438998,1.0191790817882656,1.1007428421645358,-0.07503732757254634
2021-04-28,1.0181460409438998,1.0191790817882656,1.1007428421645358,-0.07503732757254634
2021-04-29,1.0181460409438998,1.0191790817882656,1.1007428421645358,-0.07503732757254634
2021-04-30,1.0180960890290112,1.019621141499768,1.1007428421645358,-0.07508270775852187
2021-05-01,1.0109305597170732,1.0124448786153322,1.1007428421645358,-0.08159242922793193
2021-05-02,1.0143349422356578,1.015854360713443,1.1007428421645358,-0.07849962463436304
2021-05-03,0.9802577602323281,0.9817261329481556,1.1007428421645358,-0.10945797448501408
2021-05-04,1.0066756246158635,1.0081835698531694,1.1007428421645358,-0.0854579416239451
2021-05-05,1.0066756246158635,1.0081835698531694,1.1007428421645358,-0.0854579416239451
2021-05-06,1.0066756246158635,1.0081835698531694,1.1007428421645358,-0.0854579416239451
2021-05-07,1.0066756246158635,1.0081835698531694,1.1007428421645358,-0.0854579416239451
2021-05-08,1.0066756246158635,1.0081835698531694,1.1007428421645358,-0.0854579416239451
2021-05-09,1.0066756246158635,1.0081835698531694,1.1007428421645358,-0.0854579416239451
2021-05-10,1.0066756246158635,1.0081835698531694,1.1007428421645358,-0.0854579416239451
2021-05-11,1.0066756246158635,1.0081835698531694,1.1007428421645358,-0.0854579416239451
2021-05-12,1.0066756246158635,1.0081835698531694,1.1007428421645358,-0.0854579416239451
2021-05-13,1.0066756246158635,1.0081835698531694,1.1007428421645358,-0.0854579416239451
2021-05-14,1.0066756246158635,1.0081835698531694,1.1007428421645358,-0.0854579416239451
2021-05-15,1.0066756246158635,1.0081835698531694,1.1007428421645358,-0.0854579416239451
2021-05-16,1.0066756246158635,1.0081835698531694,1.1007428421645358,-0.0854579416239451
2021-05-17,1.0066756246158635,1.0081835698531694,1.1007428421645358,-0.0854579416239451
2021-05-18,1.0066756246158635,1.0081835698531694,1.1007428421645358,-0.0854579416239451
2021-05-19,1.0066756246158635,1.0081835698531694,1.1007428421645358,-0.0854579416239451
2021-05-20,1.0066756246158635,1.0081835698531694,1.1007428421645358,-0.0854579416239451
2021-05-21,1.0066756246158635,1.0081835698531694,1.1007428421645358,-0.0854579416239451
2021-05-22,1.0066756246158635,1.0081835698531694,1.1007428421645358,-0.0854579416239451
2021-05-23,1.0066756246158635,1.0081835698531694,1.1007428421645358,-0.0854579416239451
2021-05-24,1.0066756246158635,1.0081835698531694,1.1007428421645358,-0.0854579416239451
2021-05-25,1.0066756246158635,1.0081835698531694,1.1007428421645358,-0.0854579416239451
2021-05-26,1.0066756246158635,1.0081835698531694,1.1007428421645358,-0.0854579416239451
2021-05-27,1.0066756246158635,1.0081835698531694,1.1007428421645358,-0.0854579416239451
2021-05-28,1.0066756246158635,1.0081835698531694,1.1007428421645358,-0.0854579416239451
2021-05-29,1.0066756246158635,1.0081835698531694,1.1007428421645358,-0.0854579416239451
2021-05-30,1.0066756246158635,1.0081835698531694,1.1007428421645358,-0.0854579416239451
2021-05-31,1.0066756246158635,1.0081835698531694,1.1007428421645358,-0.0854579416239451
2021-06-01,1.0066756246158635,1.0081835698531694,1.1007428421645358,-0.0854579416239451
2021-06-02,1.0066756246158635,1.0081835698531694,1.1007428421645358,-0.0854579416239451
2021-06-03,1.0066756246158635,1.0081835698531694,1.1007428421645358,-0.0854579416239451
2021-06-04,1.0066756246158635,1.0081835698531694,1.1007428421645358,-0.0854579416239451
2021-06-05,1.0066756246158635,1.0081835698531694,1.1007428421645358,-0.0854579416239451
2021-06-06,1.0066756246158635,1.0081835698531694,1.1007428421645358,-0.0854579416239451
2021-06-07,1.0066756246158635,1.0081835698531694,1.1007428421645358,-0.0854579416239451
2021-06-08,1.0066756246158635,1.0081835698531694,1.1007428421645358,-0.0854579416239451
2021-06-09,1.0066756246158635,1.0081835698531694,1.1007428421645358,-0.0854579416239451
2021-06-10,1.0066756246158635,1.0081835698531694,1.1007428421645358,-0.0854579416239451
2021-06-11,1.0066756246158635,1.0081835698531694,1.1007428421645358,-0.0854579416239451
2021-06-12,1.0066756246158635,1.0081835698531694,1.1007428421645358,-0.0854579416239451
2021-06-13,1.0066756246158635,1.0081835698531694,1.1007428421645358,-0.0854579416239451
2021-06-14,1.0066756246158635,1.0081835698531694,1.1007428421645358,-0.0854579416239451
2021-06-15,1.0066756246158635,1.0081835698531694,1.1007428421645358,-0.0854579416239451
2021-06-16,1.0066756246158635,1.0081835698531694,1.1007428421645358,-0.0854579416239451
2021-06-17,1.0066756246158635,1.0081835698531694,1.1007428421645358,-0.0854579416239451
2021-06-18,1.0066756246158635,1.0081835698531694,1.1007428421645358,-0.0854579416239451
2021-06-19,1.0066756246158635,1.0081835698531694,1.1007428421645358,-0.0854579416239451
2021-06-20,1.0066756246158635,1.0081835698531694,1.1007428421645358,-0.0854579416239451
2021-06-21,1.0066756246158635,1.0081835698531694,1.1007428421645358,-0.0854579416239451
2021-06-22,1.0066756246158635,1.0081835698531694,1.1007428421645358,-0.0854579416239451
2021-06-23,1.0066756246158635,1.0081835698531694,1.1007428421645358,-0.0854579416239451
2021-06-24,1.0066756246158635,1.0081835698531694,1.1007428421645358,-0.0854579416239451
2021-06-25,1.0066756246158635,1.0081835698531694,1.1007428421645358,-0.0854579416239451
2021-06-26,1.0066756246158635,1.0081835698531694,1.1007428421645358,-0.0854579416239451
2021-06-27,1.0066756246158635,1.0081835698531694,1.1007428421645358,-0.0854579416239451
2021-06-28,1.0066756246158635,1.0081835698531694,1.1007428421645358,-0.0854579416239451
2021-06-29,1.0066756246158635,1.0081835698531694,1.1007428421645358,-0.0854579416239451
2021-06-30,1.0066756246158635,1.0081835698531694,1.1007428421645358,-0.0854579416239451
2021-07-01,1.0066756246158635,1.0081835698531694,1.1007428421645358,-0.0854579416239451
2021-07-02,1.0066756246158635,1.0081835698531694,1.1007428421645358,-0.0854579416239451
2021-07-03,1.0066756246158635,1.0081835698531694,1.1007428421645358,-0.0854579416239451
2021-07-04,1.0066756246158635,1.0081835698531694,1.1007428421645358,-0.0854579416239451
2021-07-05,1.0066756246158635,1.0081835698531694,1.1007428421645358,-0.0854579416239451
2021-07-06,1.0066756246158635,1.0081835698531694,1.1007428421645358,-0.0854579416239451
2021-07-07,1.0066756246158635,1.0081835698531694,1.1007428421645358,-0.0854579416239451
2021-07-08,1.0066756246158635,1.0081835698531694,1.1007428421645358,-0.0854579416239451
2021-07-09,1.0066756246158635,1.0081835698531694,1.1007428421645358,-0.0854579416239451
2021-07-10,1.0066756246158635,1.0081835698531694,1.1007428421645358,-0.0854579416239451
2021-07-11,1.0066756246158635,1.0081835698531694,1.1007428421645358,-0.0854579416239451
2021-07-12,1.0066756246158635,1.0081835698531694,1.1007428421645358,-0.0854579416239451
2021-07-13,1.0066756246158635,1.0081835698531694,1.1007428421645358,-0.0854579416239451
2021-07-14,1.0066756246158635,1.0081835698531694,1.1007428421645358,-0.0854579416239451
2021-07-15,1.0066756246158635,1.0081835698531694,1.1007428421645358,-0.0854579416239451
2021-07-16,1.0066756246158635,1.0081835698531694,1.1007428421645358,-0.0854579416239451
2021-07-17,1.0066756246158635,1.0081835698531694,1.1007428421645358,-0.0854579416239451
2021-07-18,1.0066756246158635,1.0081835698531694,1.1007428421645358,-0.0854579416239451
2021-07-19,1.0066756246158635,1.0081835698531694,1.1007428421645358,-0.0854579416239451
2021-07-20,1.0066756246158635,1.0081835698531694,1.1007428421645358,-0.0854579416239451
2021-07-21,1.0066756246158635,1.0081835698531694,1.1007428421645358,-0.0854579416239451
2021-07-22,1.0066756246158635,1.0081835698531694,1.1007428421645358,-0.0854579416239451
2021-07-23,1.0066756246158635,1.0081835698531694,1.1007428421645358,-0.0854579416239451
2021-07-24,1.0066756246158635,1.0081835698531694,1.1007428421645358,-0.0854579416239451
2021-07-25,1.0066756246158635,1.0081835698531694,1.1007428421645358,-0.0854579416239451
2021-07-26,1.0066756246158635,1.0081835698531694,1.1007428421645358,-0.0854579416239451
2021-07-27,1.0066756246158635,1.0081835698531694,1.1007428421645358,-0.0854579416239451
2021-07-28,1.0054805735069134,1.0084990039775499,1.1007428421645358,-0.08654361855335399
2021-07-29,1.059949699051657,1.0631316446339576,1.1007428421645358,-0.03705964876652007
2021-07-30,1.0487540226556735,1.0519023590647454,1.1007428421645358,-0.04723066779760274
2021-07-31,1.0248009753364844,1.027877405226626,1.1007428421645358,-0.06899147005009533
2021-08-01,1.016415725124645,1.0194669826788805,1.1007428421645358,-0.07660928039656127
2021-08-02,1.0043030633346317,1.0073179589457417,1.1007428421645358,-0.08761335993815032
2021-08-03,1.0251567956272258,1.02823429368202,1.1007428421645358,-0.0686682153559819
2021-08-04,1.038010329231319,1.0411264133100584,1.1007428421645358,-0.05699107051185324
2021-08-05,1.0588067909325476,1.0619853055299209,1.1007428421645358,-0.0380979549678686
2021-08-06,1.0778143489445566,1.0810499238112057,1.1007428421645358,-0.020830018003925258
2021-08-07,1.0698605019349219,1.0730721995285482,1.1007428421645358,-0.02805590828906584
2021-08-08,1.09966508888886,1.1029662591941396,1.1007428421645358,-0.0009791144983114328
2021-08-09,1.0905586994481924,1.093832532573531,1.1007428421645358,-0.00925206353948844
2021-08-10,1.0906674397979,1.0939415993593662,1.1007428421645358,-0.009153275388848544
2021-08-11,1.0759609483113624,1.0791909593102518,1.1007428421645358,-0.02251379060021096
2021-08-12,1.1121113490763135,1.1154498827797381,1.1121113490763135,0.0
2021-08-13,1.1056110854338963,1.108930105489457,1.1121113490763135,-0.005844975548371219
2021-08-14,1.1051419750942568,1.1084595868909404,1.1121113490763135,-0.0062667951260862624
2021-08-15,1.094922014279614,1.0982089459796907,1.1121113490763135,-0.015456487168282495
2021-08-16,1.0801139318986732,1.0833564100625521,1.1121113490763135,-0.028771774700632597
2021-08-17,1.081270134528669,1.0845160835873027,1.1121113490763135,-0.027732128238112334
2021-08-18,1.1017461383471048,1.105053555916887,1.1121113490763135,-0.00932029939071995
2021-08-19,1.1276514283123034,1.131036612990314,1.1276514283123034,0.0
2021-08-20,1.1226753267847858,1.1260455733159327,1.1276514283123034,-0.0044128011569719424
2021-08-21,1.1275076154706605,1.1308923684256973,1.1276514283123034,-0.0001275330638813845
2021-08-22,1.130118499725689,1.1335110904975851,1.130118499725689,0.0
2021-08-23,1.1063154998450686,1.1096366345371305,1.130118499725689,-0.021062392914015696
2021-08-24,1.121176899260202,1.1245426475450204,1.130118499725689,-0.007912091048555838
2021-08-25,1.097062653793394,1.100356011646004,1.130118499725689,-0.029249893653027097
2021-08-26,1.119682091428947,1.1230433523336762,1.130118499725689,-0.009234791129669401
2021-08-27,1.1178730674985895,1.1212288977534413,1.130118499725689,-0.010835529398086848
2021-08-28,1.1170278785597536,1.1203811715760812,1.130118499725689,-0.01158340578365265
2021-08-29,1.0958216842114272,1.0991113167007653,1.130118499725689,-0.03034798166969797
2021-08-30,1.0970541633292938,1.1003474956937183,1.130118499725689,-0.029257406550216455
2021-08-31,1.11688260311541,1.1202354600180628,1.130118499725689,-0.0117119546432447
2021-09-01,1.1222699736274113,1.1256390032973345,1.130118499725689,-0.006944870029278116
2021-09-02,1.1316857899664816,1.1350830857090597,1.1316857899664816,0.0
2021-09-03,1.1303443345238429,1.133737603246815,1.1316857899664816,-0.001185360331049559
2021-09-04,1.1599369613468902,1.1634190664818849,1.1599369613468902,0.0
2021-09-05,1.1725737093188617,1.1760937496921229,1.1725737093188617,0.0
2021-09-06,1.0351099674554025,1.038217344712159,1.1725737093188617,-0.11723249529729841
2021-09-07,1.0302612084605778,1.0333540298499408,1.1725737093188617,-0.12136763746899297
2021-09-08,1.0323759630686855,1.0354751329046672,1.1725737093188617,-0.11956412218351367
2021-09-09,1.0215477995411468,1.0246144634694125,1.1725737093188617,-0.12879864914031255
2021-09-10,1.023853212055479,1.0269267967811864,1.1725737093188617,-0.1268325360541924
2021-09-11,1.0299812677950742,1.0330732488087433,1.1725737093188617,-0.12160637782559387
2021-09-12,1.0216952607018186,1.0247623673052315,1.1725737093188617,-0.1286728905978006
2021-09-13,1.0382255428311125,1.041342272976324,1.1725737093188617,-0.11457545518890322
2021-09-14,1.0520273762351808,1.0551855391793892,1.1725737093188617,-0.10280490866003235
2021-09-15,1.04699501204722,1.0501380679453007,1.1725737093188617,-0.10709663390337255
2021-09-16,1.0404868184640523,1.0436103369087621,1.1725737093188617,-0.11264698313212017
2021-09-17,1.0551730412882847,1.0583406474494945,1.1725737093188617,-0.10012220732696975
2021-09-18,1.0405088686647626,1.0436324533036878,1.1725737093188617,-0.11262817817296496
2021-09-19,0.979039834934148,0.9819788908916629,1.1725737093188617,-0.1650504977611479
2021-09-20,0.9617377355038552,0.9646248509410831,1.1725737093188617,-0.17980615814546905
2021-09-21,0.9617377355038552,0.9646248509410831,1.1725737093188617,-0.17980615814546905
2021-09-22,0.9617377355038552,0.9646248509410831,1.1725737093188617,-0.17980615814546905
2021-09-23,0.9617377355038552,0.9646248509410831,1.1725737093188617,-0.17980615814546905
2021-09-24,0.9617377355038552,0.9646248509410831,1.1725737093188617,-0.17980615814546905
2021-09-25,0.9617377355038552,0.9646248509410831,1.1725737093188617,-0.17980615814546905
2021-09-26,0.9617377355038552,0.9646248509410831,1.1725737093188617,-0.17980615814546905
2021-09-27,0.9617377355038552,0.9646248509410831,1.1725737093188617,-0.17980615814546905
2021-09-28,0.9617377355038552,0.9646248509410831,1.1725737093188617,-0.17980615814546905
2021-09-29,0.9617377355038552,0.9646248509410831,1.1725737093188617,-0.17980615814546905
2021-09-30,0.9617377355038552,0.9646248509410831,1.1725737093188617,-0.17980615814546905
2021-10-01,0.9617377355038552,0.9646248509410831,1.1725737093188617,-0.17980615814546905
2021-10-02,0.9617377355038552,0.9646248509410831,1.1725737093188617,-0.17980615814546905
2021-10-03,0.9617377355038552,0.9646248509410831,1.1725737093188617,-0.17980615814546905
2021-10-04,0.9792824222415946,0.9827929609716107,1.1725737093188617,-0.1648436132766003
2021-10-05,1.0119021696204167,1.0155296438574284,1.1725737093188617,-0.13702468204900978
2021-10-06,0.9991491206452511,1.0027308776597983,1.1725737093188617,-0.1479007991526192
2021-10-07,1.0002402401934216,1.003825908661239,1.1725737093188617,-0.14697026528553772
2021-10-08,1.0088872031002287,1.0125038692633912,1.1725737093188617,-0.1395959204250939
2021-10-09,1.0070899410114973,1.0107001643364886,1.1725737093188617,-0.1411286701997545
2021-10-10,1.0304814435182532,1.03417552087109,1.1725737093188617,-0.12117981553854616
2021-10-11,1.0185684735252765,1.0222198451768774,1.1725737093188617,-0.13133949240858012
2021-10-12,1.0290571608299282,1.0327461324038534,1.1725737093188617,-0.12239447921129082
2021-10-13,1.0282271750466065,1.0319131712814757,1.1725737093188617,-0.12310231171403706
2021-10-14,1.0782900268691686,1.0821554887783587,1.1725737093188617,-0.08040746752241418
2021-10-15,1.072321913234677,1.0761659806068233,1.1725737093188617,-0.0854972231489141
2021-10-16,1.0776083221307702,1.0814713402598697,1.1725737093188617,-0.0809888422649832
2021-10-17,1.0814596709551207,1.0853364954274198,1.1725737093188617,-0.0777043162742139
2021-10-18,1.1010467718633055,1.104993812317006,1.1725737093188617,-0.060999949842902135
2021-10-19,1.1179044147662216,1.1219118866204694,1.1725737093188617,-0.04662333303072015
2021-10-20,1.080009102302158,1.083880726765429,1.1725737093188617,-0.07894139727085785
2021-10-21,1.0695334187577108,1.073367489914631,1.1725737093188617,-0.0878753205382766
2021-10-22,1.075586548167812,1.079442318626945,1.1725737093188617,-0.08271306134553265
2021-10-23,1.0715846927683896,1.0754261173472615,1.1725737093188617,-0.08612594308389857
2021-10-24,1.0896063993392189,1.0935124282625177,1.1725737093188617,-0.07075658384651816
2021-10-25,1.0680213006518327,1.0718499511567996,1.1725737093188617,-0.08916489243798814
2021-10-26,1.0526865784834145,1.0564602569651291,1.1725737093188617,-0.10224272460030565
2021-10-27,1.0714538127346898,1.0752947681338678,1.1725737093188617,-0.08623756082925625
2021-10-28,1.0855833277486575,1.0894749347357395,1.1725737093188617,-0.07418755927995026
2021-10-29,1.0826105462441233,1.0864914963825063,1.1725737093188617,-0.07672282122630673
2021-10-30,1.0775829012242792,1.0814458282243293,1.1725737093188617,-0.08101052184579667
2021-10-31,1.0748079757100415,1.0786609551369815,1.1725737093188617,-0.08337704728652967
2021-11-01,1.0964541061360626,1.1003846827683539,1.1725737093188617,-0.06491668931159673
2021-11-02,1.093725031981556,1.097645825409024,1.1725737093188617,-0.0672441115732574
2021-11-03,1.0733399076779924,1.0771876243640033,1.1725737093188617,-0.0846290521885515
2021-11-04,1.069019021614353,1.0728512487566635,1.1725737093188617,-0.08831401120588221
2021-11-05,1.0751321408015282,1.0789862822978395,1.1725737093188617,-0.08310059124038909
2021-11-06,1.1018292079820948,1.1057790533184697,1.1725737093188617,-0.06033266887576884
2021-11-07,1.15596532882881,1.1601092417238472,1.1725737093188617,-0.01416403963184482
2021-11-08,1.1505632572545503,1.1546878047642266,1.1725737093188617,-0.018771060522154374
2021-11-09,1.1320405102994942,1.13609865733154,1.1725737093188617,-0.03456771945101258
2021-11-10,1.1316579705611618,1.135714746261979,1.1725737093188617,-0.03489395884670444
2021-11-11,1.124394060332633,1.1284247963153775,1.1725737093188617,-0.04108880201161587
2021-11-12,1.1271993265105738,1.1312401188318595,1.1725737093188617,-0.0386964012988536
2021-11-13,1.13605050502638,1.1401230271166072,1.1725737093188617,-0.031147896291907912
2021-11-14,1.1181682019393218,1.1221766194197416,1.1725737093188617,-0.04639836877388602
2021-11-15,1.0602714316081758,1.0640723003263854,1.1725737093188617,-0.09577417335744408
2021-11-16,1.0626616211204125,1.0664710582073218,1.1725737093188617,-0.09373576034064096
